PublicationID,FieldName
852,Healthcare & Biotech
853,Consumer & Retail
854,Healthcare & Biotech
855,Technology
856,Financial
857,Technology
858,Healthcare & Biotech
859,Technology
860,Technology
861,Healthcare & Biotech
862,Consumer & Retail
863,Technology
864,Financial
865,Healthcare & Biotech
866,Telecommunications
867,Technology
868,Technology
869,Consumer & Retail
870,Industrial & Manufacturing
871,Consumer & Retail
872,Consumer & Retail
873,Healthcare & Biotech
874,Consumer & Retail
875,Technology
876,Energy & Utilities
877,Financial
878,Real Estate
879,Healthcare & Biotech
880,Healthcare & Biotech
881,Technology
882,Healthcare & Biotech
883,Financial
884,Industrial & Manufacturing
885,Consumer & Retail
886,Healthcare & Biotech
887,Financial
888,Energy & Utilities
889,Healthcare & Biotech
890,Technology
891,Technology
892,Industrial & Manufacturing
893,Consumer & Retail
894,Financial
895,Technology
896,Industrial & Manufacturing
897,Financial
898,Healthcare & Biotech
899,Healthcare & Biotech
900,Consumer & Retail
901,Financial
902,Financial
903,Financial
904,Healthcare & Biotech
905,Financial
906,Financial
907,Industrial & Manufacturing
908,Financial
909,Healthcare & Biotech
910,Financial
911,Transportation & Logistics
912,Healthcare & Biotech
913,Consumer & Retail
913,Financial
914,Financial
915,Industrial & Manufacturing
916,Technology
917,Technology
918,Energy & Utilities
919,Financial
920,Technology
921,Consumer & Retail
922,Industrial & Manufacturing
923,Industrial & Manufacturing
924,Industrial & Manufacturing
925,Technology
926,Industrial & Manufacturing
927,Industrial & Manufacturing
928,Industrial & Manufacturing
929,Financial
930,Healthcare & Biotech
931,Healthcare & Biotech
932,Financial
933,Technology
934,Industrial & Manufacturing
935,Healthcare & Biotech
936,Healthcare & Biotech
937,Financial
938,Technology
939,Consumer & Retail
940,Healthcare & Biotech
941,Financial
942,Healthcare & Biotech
943,Industrial & Manufacturing
944,Industrial & Manufacturing
945,Consumer & Retail
946,Transportation & Logistics
947,Financial
948,Financial
949,Industrial & Manufacturing
950,Healthcare & Biotech
951,Consumer & Retail
952,Materials & Chemicals
953,Healthcare & Biotech
954,Healthcare & Biotech
955,Transportation & Logistics
956,Technology
957,Real Estate
958,Financial
959,Industrial & Manufacturing
960,Technology
961,Materials & Chemicals
962,Consumer & Retail
963,Consumer & Retail
964,Materials & Chemicals
965,Healthcare & Biotech
966,Financial
967,Industrial & Manufacturing
968,Healthcare & Biotech
969,Consumer & Retail
970,Financial
971,Healthcare & Biotech
972,Financial
973,Healthcare & Biotech
974,Healthcare & Biotech
975,Healthcare & Biotech
976,Materials & Chemicals
977,Technology
978,Technology
979,Consumer & Retail
980,Industrial & Manufacturing
981,Energy & Utilities
982,Technology
983,Healthcare & Biotech
984,Financial
985,Consumer & Retail
986,Technology
987,Technology
988,Technology
989,Technology
990,Industrial & Manufacturing
991,Financial
992,Industrial & Manufacturing
993,Technology
994,Industrial & Manufacturing
995,Energy & Utilities
996,Financial
997,Financial
998,Consumer & Retail
999,Healthcare & Biotech
1000,Technology
1001,Healthcare & Biotech
1002,Technology
1003,Consumer & Retail
1004,Consumer & Retail
1004,Financial
1005,Industrial & Manufacturing
1006,Technology
1007,Materials & Chemicals
1008,Industrial & Manufacturing
1009,Technology
1010,Healthcare & Biotech
1011,Consumer & Retail
1012,Industrial & Manufacturing
1013,Healthcare & Biotech
1014,Technology
1015,Consumer & Retail
1016,Consumer & Retail
1017,Consumer & Retail
1018,Healthcare & Biotech
1019,Technology
1020,Materials & Chemicals
1021,Industrial & Manufacturing
1022,Technology
1023,Energy & Utilities
1024,Industrial & Manufacturing
1025,Technology
1026,Financial
1027,Healthcare & Biotech
1028,Healthcare & Biotech
1029,Healthcare & Biotech
1030,Technology
1031,Energy & Utilities
1032,Healthcare & Biotech
1033,Technology
1034,Financial
1035,Healthcare & Biotech
1036,Technology
1037,Industrial & Manufacturing
1038,Healthcare & Biotech
1039,Energy & Utilities
1040,Technology
1041,Financial
1042,Healthcare & Biotech
1043,Technology
1044,Materials & Chemicals
1045,Technology
1046,Industrial & Manufacturing
1047,Technology
1048,Industrial & Manufacturing
1049,Financial
1050,Industrial & Manufacturing
1051,Materials & Chemicals
1052,Technology
1053,Transportation & Logistics
1054,Materials & Chemicals
1055,Financial
1056,Technology
1057,Industrial & Manufacturing
1058,Consumer & Retail
1059,Healthcare & Biotech
1060,Materials & Chemicals
1061,Healthcare & Biotech
1062,Technology
1063,Consumer & Retail
1064,Financial
1065,Technology
1066,Consumer & Retail
1067,Technology
1068,Energy & Utilities
1069,Financial
1070,Financial
1071,Energy & Utilities
1072,Healthcare & Biotech
1073,Industrial & Manufacturing
1074,Healthcare & Biotech
1075,Consumer & Retail
1076,Energy & Utilities
1077,Financial
1078,Consumer & Retail
1079,Consumer & Retail
1080,Financial
1081,Industrial & Manufacturing
1082,Industrial & Manufacturing
1082,Technology
1083,Technology
1084,Industrial & Manufacturing
1085,Consumer & Retail
1086,Technology
1087,Financial
1088,Energy & Utilities
1089,Healthcare & Biotech
1090,Technology
1091,Financial
1092,Consumer & Retail
1093,Financial
1094,Financial
1095,Healthcare & Biotech
1096,Technology
1097,Technology
1098,Financial
1099,Financial
1100,Financial
1101,Consumer & Retail
1102,Consumer & Retail
1103,Industrial & Manufacturing
1104,Financial
1105,Real Estate
1106,Consumer & Retail
1107,Healthcare & Biotech
1108,Energy & Utilities
1109,Financial
1110,Transportation & Logistics
1111,Technology
1112,Technology
1113,Consumer & Retail
1114,Consumer & Retail
1115,Healthcare & Biotech
1116,Technology
1117,Industrial & Manufacturing
1118,Telecommunications
1119,Financial
1120,Industrial & Manufacturing
1121,Financial
1122,Technology
1123,Financial
1124,Healthcare & Biotech
1125,Technology
1126,Healthcare & Biotech
1127,Healthcare & Biotech
1128,Technology
1129,Industrial & Manufacturing
1130,Consumer & Retail
1131,Consumer & Retail
1132,Technology
1133,Healthcare & Biotech
1134,Technology
1135,Financial
1136,Technology
1137,Materials & Chemicals
1138,Healthcare & Biotech
1139,Healthcare & Biotech
1140,Financial
1141,Transportation & Logistics
1142,Transportation & Logistics
1143,Technology
1144,Financial
1145,Healthcare & Biotech
1146,Technology
1147,Energy & Utilities
1148,Healthcare & Biotech
1149,Industrial & Manufacturing
1150,Transportation & Logistics
1151,Technology
1152,Real Estate
1153,Technology
1154,Real Estate
1155,Consumer & Retail
1156,Financial
1157,Financial
1158,Consumer & Retail
1159,Financial
1160,Healthcare & Biotech
1161,Industrial & Manufacturing
1162,Energy & Utilities
1163,Industrial & Manufacturing
1164,Industrial & Manufacturing
1165,Technology
1166,Consumer & Retail
1167,Healthcare & Biotech
1168,Consumer & Retail
1169,Healthcare & Biotech
1170,Consumer & Retail
1171,Technology
1172,Healthcare & Biotech
1173,Consumer & Retail
1174,Financial
1175,Materials & Chemicals
1176,Consumer & Retail
1177,Financial
1178,Technology
1179,Financial
1180,Healthcare & Biotech
1181,Healthcare & Biotech
1182,Technology
1183,Consumer & Retail
1184,Financial
1185,Technology
1186,Materials & Chemicals
1187,Industrial & Manufacturing
1188,Healthcare & Biotech
1189,Healthcare & Biotech
1190,Industrial & Manufacturing
1191,Technology
1192,Healthcare & Biotech
1193,Technology
1194,Healthcare & Biotech
1195,Healthcare & Biotech
1196,Transportation & Logistics
1197,Consumer & Retail
1198,Financial
1199,Consumer & Retail
1200,Technology
1201,Consumer & Retail
1202,Financial
1203,Financial
1204,Consumer & Retail
1205,Financial
1206,Healthcare & Biotech
1207,Healthcare & Biotech
1208,Industrial & Manufacturing
1209,Consumer & Retail
1210,Healthcare & Biotech
1211,Consumer & Retail
1212,Energy & Utilities
1213,Healthcare & Biotech
1214,Transportation & Logistics
1215,Technology
1216,Healthcare & Biotech
1217,Consumer & Retail
1218,Transportation & Logistics
1219,Industrial & Manufacturing
1220,Consumer & Retail
1221,Consumer & Retail
1222,Financial
1223,Industrial & Manufacturing
1224,Consumer & Retail
1225,Financial
1226,Healthcare & Biotech
1227,Energy & Utilities
1228,Healthcare & Biotech
1229,Transportation & Logistics
1230,Healthcare & Biotech
1231,Industrial & Manufacturing
1232,Technology
1233,Financial
1234,Financial
1235,Healthcare & Biotech
1236,Technology
1237,Financial
1238,Financial
1239,Healthcare & Biotech
1240,Materials & Chemicals
1241,Energy & Utilities
1242,Materials & Chemicals
1243,Industrial & Manufacturing
1244,Healthcare & Biotech
1245,Consumer & Retail
1246,Consumer & Retail
1247,Energy & Utilities
1248,Technology
1249,Financial
1250,Industrial & Manufacturing
1251,Industrial & Manufacturing
1252,Technology
1253,Financial
1254,Technology
1255,Technology
1256,Healthcare & Biotech
1257,Financial
1258,Financial
1259,Healthcare & Biotech
1260,Consumer & Retail
1261,Industrial & Manufacturing
1262,Consumer & Retail
1263,Technology
1264,Consumer & Retail
1265,Technology
1266,Financial
1267,Consumer & Retail
1268,Technology
1269,Real Estate
1270,Industrial & Manufacturing
1271,Industrial & Manufacturing
1272,Technology
1273,Industrial & Manufacturing
1274,Technology
1275,Consumer & Retail
1276,Industrial & Manufacturing
1277,Healthcare & Biotech
1278,Telecommunications
1279,Technology
1280,Technology
1281,Financial
1282,Technology
1283,Financial
1284,Healthcare & Biotech
1285,Technology
1286,Materials & Chemicals
1287,Technology
1288,Financial
1289,Technology
1290,Financial
1291,Technology
1292,Energy & Utilities
1293,Financial
1294,Technology
1295,Healthcare & Biotech
1296,Energy & Utilities
1297,Energy & Utilities
1298,Materials & Chemicals
1299,Financial
1300,Financial
1301,Healthcare & Biotech
1302,Healthcare & Biotech
1303,Healthcare & Biotech
1304,Technology
1305,Technology
1306,Technology
1307,Industrial & Manufacturing
1308,Technology
1309,Healthcare & Biotech
1310,Consumer & Retail
1311,Telecommunications
1312,Technology
1313,Technology
1314,Technology
1315,Healthcare & Biotech
1316,Transportation & Logistics
1317,Consumer & Retail
1318,Technology
1319,Healthcare & Biotech
1320,Industrial & Manufacturing
1321,Industrial & Manufacturing
1322,Technology
1323,Transportation & Logistics
1324,Consumer & Retail
1325,Technology
1326,Industrial & Manufacturing
1327,Materials & Chemicals
1328,Telecommunications
1329,Healthcare & Biotech
1330,Consumer & Retail
1331,Financial
1332,Industrial & Manufacturing
1333,Industrial & Manufacturing
1333,Technology
1334,Technology
1335,Technology
1336,Technology
1337,Industrial & Manufacturing
1338,Healthcare & Biotech
1339,Consumer & Retail
1340,Healthcare & Biotech
1341,Technology
1342,Healthcare & Biotech
1343,Consumer & Retail
1344,Healthcare & Biotech
1345,Healthcare & Biotech
1346,Healthcare & Biotech
1347,Industrial & Manufacturing
1348,Healthcare & Biotech
1349,Consumer & Retail
1350,Technology
1351,Financial
1352,Technology
1353,Financial
1354,Materials & Chemicals
1355,Consumer & Retail
1356,Industrial & Manufacturing
1357,Industrial & Manufacturing
1358,Consumer & Retail
1359,Industrial & Manufacturing
1360,Industrial & Manufacturing
1361,Financial
1362,Materials & Chemicals
1363,Technology
1364,Materials & Chemicals
1365,Technology
1366,Financial
1367,Technology
1368,Healthcare & Biotech
1369,Consumer & Retail
1370,Healthcare & Biotech
1371,Industrial & Manufacturing
1372,Industrial & Manufacturing
